time[YYYY-MM-DD hh:mm:ss PST], fluorescence
6/2/16 23:15,12.112
6/2/16 23:25,12.247
6/2/16 23:35,12.808
6/2/16 23:45,12.625
6/2/16 23:55,11.734
6/3/16 0:05,11.844
6/3/16 0:15,11.343
6/3/16 0:25,12.088
6/3/16 0:35,11.709
6/3/16 0:45,12.039
6/3/16 0:55,10.647
6/3/16 1:05,10.342
6/3/16 1:15,11.429
6/3/16 1:25,9.597
6/3/16 1:35,9.927
6/3/16 1:45,10.537
6/3/16 1:55,9.341
6/3/16 2:05,10.44
6/3/16 2:15,9.28
6/3/16 2:25,9.328
6/3/16 2:35,9.011
6/3/16 2:45,8.376
6/3/16 2:55,8.535
6/3/16 3:05,9.841
6/3/16 3:15,8.62
6/3/16 3:25,10.22
6/3/16 3:35,10.33
6/3/16 3:45,9.536
6/3/16 3:55,9.072
6/3/16 4:05,11.306
6/3/16 4:15,10.281
6/3/16 4:25,12.002
6/3/16 4:35,10.818
6/3/16 4:45,10.427
6/3/16 4:55,10.208
6/3/16 5:05,9.829
6/3/16 5:15,10.403
6/3/16 5:25,9.365
6/3/16 5:35,9.646
6/3/16 5:45,10.317
6/3/16 5:55,8.657
6/3/16 6:05,7.839
6/3/16 6:25,7.045
6/3/16 6:35,7.07
6/3/16 6:45,5.812
6/3/16 6:55,5.446
6/3/16 7:05,5.568
6/3/16 7:15,4.432
6/3/16 7:25,6.862
6/3/16 7:35,5.897
6/3/16 7:45,4.225
6/3/16 7:55,4.2
6/3/16 8:05,4.42
6/3/16 8:15,4.054
6/3/16 8:25,3.919
6/3/16 8:35,3.858
6/3/16 8:45,3.846
6/3/16 8:55,3.639
6/3/16 9:05,3.407
6/3/16 9:15,3.333
6/3/16 9:25,2.979
6/3/16 9:35,5.067
